Entity Name,Fiscal Year,Total Revenues,Estimated Population,Revenues Per Capita
Adelanto,2019,20232000,35136,576
Adelanto,2018,18224861,35293,516
Adelanto,2017,15171753,34273,443
Adelanto,2016,14565863,33497,435
Adelanto,2015,14051611,33084,425
Adelanto,2014,13047272,32511,401
Adelanto,2013,11448926,31289,366
Adelanto,2012,13532422,31066,436
Adelanto,2011,13165265,31671,416
Adelanto,2010,53616428,28540,1879
Adelanto,2009,29104128,28265,1030
Adelanto,2008,29280121,28181,1039
Adelanto,2006,26349626,24880,1059
Adelanto,2005,20408343,23418,871
Adelanto,2004,17233486,21271,810
Agoura Hills,2019,25875221,20842,1241
Agoura Hills,2018,23623223,20878,1131
Agoura Hills,2017,24695869,21018,1175
Agoura Hills,2016,28100766,21211,1325
Agoura Hills,2015,23443915,20767,1129
Agoura Hills,2014,25485389,20625,1236
Agoura Hills,2013,16239870,20516,792
Agoura Hills,2012,15585529,20413,764
Agoura Hills,2011,16639271,20393,816
Agoura Hills,2010,15829384,23387,677
Agoura Hills,2009,18188712,23337,779
Agoura Hills,2008,18532560,23337,794
Agoura Hills,2007,21809043,23340,934
Agoura Hills,2006,18605145,23231,801
Agoura Hills,2005,17889207,23330,767
Agoura Hills,2004,16926864,22127,765
Agoura Hills,2003,16192116,21930,738
Alameda,2019,273566962,79316,3449
Alameda,2018,270194864,78863,3426
Alameda,2017,236492783,79928,2959
Alameda,2016,215187532,79277,2714
Alameda,2015,189001535,76638,2466
Alameda,2014,200341642,75988,2636
Alameda,2013,166123124,75126,2211
Alameda,2012,159052967,74640,2131
Alameda,2011,167723599,74081,2264
Alameda,2010,171255424,75409,2271
Alameda,2009,177799783,74683,2381
Alameda,2008,182807850,75823,2411
Alameda,2007,181933558,75254,2418
Alameda,2006,162447358,74405,2183
Alameda,2005,143214313,74581,1920
Alameda,2004,140981174,74409,1895
Alameda,2003,145006838,74940,1935
Albany,2019,35783631,19393,1845
Albany,2018,34885383,19053,1831
Albany,2017,31973269,18988,1684
Albany,2016,35120955,18893,1859
Albany,2015,28109961,18565,1514
Albany,2014,31830206,18472,1723
Albany,2013,26357373,18430,1430
Albany,2012,25817029,18488,1396
Albany,2011,26655984,18622,1431
Albany,2010,24924953,17021,1464
Albany,2009,31026068,16884,1838
Albany,2008,37288590,16877,2209
Albany,2007,24185642,16764,1443
Albany,2006,21189973,16680,1270
Albany,2005,27661773,16743,1652
Albany,2004,20049794,16722,1199
Albany,2003,25841727,16787,1539
Alhambra,2019,140401786,86931,1615
Alhambra,2018,134619551,86665,1553
Alhambra,2017,121313323,86922,1396
Alhambra,2016,115993675,86782,1337
Alhambra,2015,110050437,85545,1286
Alhambra,2014,116124032,84697,1371
Alhambra,2013,106093504,84240,1259
Alhambra,2012,106007275,83661,1267
Alhambra,2011,103579205,83450,1241
Alhambra,2010,100149101,89501,1119
Alhambra,2009,88409916,89171,991
Alhambra,2008,89281143,89259,1000
Alhambra,2007,93359535,89488,1043
Alhambra,2006,89951247,89326,1007
Alhambra,2005,78775115,90561,870
Alhambra,2004,73287761,89704,817
Alhambra,2003,69005097,88938,776
Aliso Viejo,2019,27777375,51372,541
Aliso Viejo,2018,25810063,51950,497
Aliso Viejo,2017,24218609,50312,481
Aliso Viejo,2016,20608025,50509,408
Aliso Viejo,2015,19534327,50204,389
Aliso Viejo,2014,19640451,49951,393
Aliso Viejo,2013,17969676,49477,363
Aliso Viejo,2012,19872172,48988,406
Aliso Viejo,2011,18784151,48320,389
Aliso Viejo,2010,17157509,46123,372
Aliso Viejo,2009,20341279,45683,445
Aliso Viejo,2008,46061908,45249,1018
Aliso Viejo,2007,28260521,45037,627
Aliso Viejo,2006,18113210,44924,403
Aliso Viejo,2005,13886962,45017,308
Aliso Viejo,2004,12876402,44833,287
Aliso Viejo,2003,13124035,43879,299
Alturas,2019,5008239,2755,1818
Alturas,2018,4388142,2868,1530
Alturas,2017,4963189,2660,1866
Alturas,2016,5761271,2684,2147
Alturas,2015,3868478,2723,1421
Alturas,2014,3219695,2668,1207
Alturas,2013,5295883,2754,1923
Alturas,2012,3787161,2774,1365
Alturas,2011,3503938,2822,1242
Alturas,2010,4150202,2798,1483
Alturas,2009,5123478,2782,1842
Alturas,2008,8186722,2804,2920
Alturas,2007,4191119,2827,1483
Alturas,2006,3166458,2866,1105
Alturas,2005,3142251,2838,1107
Alturas,2004,2719432,2840,958
Alturas,2003,4136651,2812,1471
Amador,2019,439732,188,2339
Amador,2018,446815,186,2402
Amador,2017,434256,193,2250
Amador,2016,349467,190,1839
Amador,2015,1091489,183,5964
Amador,2014,3228321,179,18035
Amador,2013,548177,182,3012
Amador,2012,356343,182,1958
Amador,2011,576130,186,3097
Amador,2010,516939,208,2485
Amador,2009,376597,209,1802
Amador,2008,844007,208,4058
Amador,2007,2406387,214,11245
Amador,2006,304938,213,1432
Amador,2005,532418,216,2465
Amador,2004,309261,208,1487
Amador,2003,352805,208,1696
American Canyon,2019,54602529,20629,2647
American Canyon,2018,47952991,20990,2285
American Canyon,2017,36832487,20570,1791
American Canyon,2016,39553539,20374,1941
American Canyon,2015,29380044,20149,1458
American Canyon,2014,30973086,20001,1549
American Canyon,2013,27147633,19862,1367
American Canyon,2012,25268500,19809,1276
American Canyon,2011,26566269,19693,1349
American Canyon,2010,25107147,16836,1491
American Canyon,2009,36977770,16503,2241
American Canyon,2008,32221842,16293,1978
American Canyon,2007,36361833,16031,2268
American Canyon,2006,29363917,14961,1963
American Canyon,2005,27777681,14306,1942
American Canyon,2004,26619151,13156,2023
American Canyon,2003,18777391,12331,1523
Anaheim,2019,1430347994,359339,3980
Anaheim,2018,1355873000,357084,3797
Anaheim,2017,1367106492,358546,3813
Anaheim,2016,1177907888,358136,3289
Anaheim,2015,1315642721,351433,3744
Anaheim,2014,1157749339,348305,3324
Anaheim,2013,1149222697,346161,3320
Anaheim,2012,1039290025,343793,3023
Anaheim,2011,1022757247,341034,2999
Anaheim,2010,964464291,353643,2727
Anaheim,2009,1030813496,348467,2958
Anaheim,2008,970882557,346823,2799
Anaheim,2007,1459750590,345556,4224
Anaheim,2006,912446740,342410,2665
Anaheim,2005,786546744,345317,2278
Anaheim,2004,811992019,343046,2367
Anaheim,2003,720600396,337440,2135
Anderson,2019,17716141,10431,1698
Anderson,2018,15261461,10263,1487
Anderson,2017,14323805,10450,1371
Anderson,2016,13138675,10485,1253
Anderson,2015,10517310,10269,1024
Anderson,2014,8951493,10361,864
Anderson,2013,9370337,10267,913
Anderson,2012,8678831,10195,851
Anderson,2011,11950254,10005,1194
Anderson,2010,9286969,10826,858
Anderson,2009,12093845,10765,1123
Anderson,2008,14332065,10579,1355
Anderson,2007,14035266,10594,1325
Anderson,2006,10826514,10677,1014
Anderson,2005,12034064,10441,1153
Anderson,2004,11247474,10071,1117
Anderson,2003,9884204,9508,1040
Angels,2019,9570378,3840,2492
Angels,2018,9465909,4121,2297
Angels,2017,8535688,4020,2123
Angels,2016,7653993,4045,1892
Angels,2015,7721584,3811,2026
Angels,2014,8122891,3726,2180
Angels,2013,7091758,3753,1890
Angels,2012,6823958,3752,1819
Angels,2011,9680684,3840,2521
Angels,2010,9538085,3549,2688
Angels,2009,8267156,3575,2312
Angels,2008,8632998,3593,2403
Angels,2007,9190225,3589,2561
Angels,2006,8648709,3576,2419
Angels,2005,12149452,3537,3435
Angels,2004,6853192,3441,1992
Angels,2003,7165974,3349,2140
Antioch,2019,139904451,113901,1228
Antioch,2018,124754598,113061,1103
Antioch,2017,110941164,114241,971
Antioch,2016,102456004,112968,907
Antioch,2015,99624766,108298,920
Antioch,2014,93753427,106455,881
Antioch,2013,85498803,105117,813
Antioch,2012,81542031,103833,785
Antioch,2011,88393027,103054,858
Antioch,2010,87370025,102330,854
Antioch,2009,88312928,100957,875
Antioch,2008,92965169,100361,926
Antioch,2007,90273353,100150,901
Antioch,2006,85533798,100945,847
Antioch,2005,95913917,101049,949
Antioch,2004,79030141,100590,786
Antioch,2003,74925701,99295,755
Apple Valley,2019,77300759,73464,1052
Apple Valley,2018,73162404,73984,989
Apple Valley,2017,64570805,74701,864
Apple Valley,2016,70259057,74656,941
Apple Valley,2015,62096416,71396,870
Apple Valley,2014,51780078,70755,732
Apple Valley,2013,45093774,70436,640
Apple Valley,2012,46153218,70033,659
Apple Valley,2011,46619458,69668,669
Apple Valley,2010,46010667,70040,657
