Year,Alameda County,Los Angeles County,Merced County,Riverside County,San Diego County,San Mateo County,Santa Barbara County,Santa Clara County,Santa Cruz County
1990,1305802,8875317,179812,1193639,2513216,650050,370420,1497644,229385
1991,1315144,8931985,185381,1248277,2554271,654577,374051,1508020,228984
1992,1328589,9021867,188184,1290328,2601147,661529,376523,1523971,230983
1993,1334736,9064197,191195,1321304,2609266,667971,378009,1539465,232600
1994,1336359,9048129,195205,1354966,2626939,673139,381528,1550060,234059
1995,1340267,9029470,192175,1383646,2641561,677837,381289,1566760,234717
1996,1351804,9056547,190991,1406769,2673685,685365,382215,1593625,235633
1997,1372202,9126131,193893,1439674,2722060,695689,386789,1621660,238862
1998,1397050,9223807,197261,1480708,2766123,701080,389472,1641848,243200
1999,1415582,9329989,200746,1530653,2820844,702102,391071,1647419,245201
2000,1449840,9538191,212258,1558985,2827366,707820,399990,1684947,255835
2001,1469484,9626034,218816,1616634,2869672,705621,403164,1688082,256045
2002,1462106,9705913,225351,1687147,2900355,697628,405178,1669348,254531
2003,1454163,9767145,231735,1771656,2914702,693057,406810,1663592,253021
2004,1445721,9793263,237180,1856542,2930007,690161,407284,1663167,252356
2005,1441545,9786373,242554,1931785,2938375,690078,408079,1675312,251377
2006,1444484,9737955,245338,2012370,2947289,690176,408085,1691159,251616
2007,1455715,9700359,248540,2075183,2975742,693849,411243,1712026,253304
2008,1477208,9735147,250538,2109712,3022116,703830,415859,1740964,256520
2009,1498539,9787400,252302,2146725,3061203,713617,420356,1765137,260009
2010,1512986,9823246,256721,2201576,3103212,719699,424231,1786040,263147
2011,1530915,9876482,259297,2234070,3137156,728344,425453,1812054,264858
2012,1553764,9935375,260867,2261204,3174335,739224,429699,1837853,266340
2013,1579593,9992484,262026,2286755,3209768,748661,434601,1866425,268816
2014,1607792,10040072,264419,2316162,3248877,757204,439045,1891753,270861
2015,1634538,10085416,266353,2345816,3280850,765055,442229,1916285,273503
2016,1650950,10105708,267628,2380081,3306089,767906,444340,1928368,274396
2017,1660196,10103711,271096,2414964,3321237,768901,445298,1932510,274856
2018,1666756,10073906,274151,2445789,3333861,768681,445780,1932337,273841
2019,1671329,10039107,277680,2470546,3338330,766573,446499,1927852,273213
