2020,Alameda,San Mateo,Los Angeles,Merced,Santa Clara,Riverside,San Diego,Santa Barbara,Santa Cruz
2019,273566962,290654816,17466328462,169480715,1078173133,942831959,3582779101,384068026,249325135
2018,270194864,264909646,15809336626,148250775,961395788,908463247,3302686461,353348785,224775290
2017,236492783,231211605,15058007673,130577581,822606457,840021436,3094929236,337909025,192892870
2016,215187532,218576427,17104427703,105621501,744300212,846372157,3086313984,347814107,175418155
2015,189001535,199919031,16808581771,99470237,670039132,1011706064,2991683172,284977205,157570709
2014,200341642,168986410,15758275978,99618719,639006083,938565944,2864419610,301345606,154711153
2013,166123124,158568288,15293140048,101078705,572714606,739248504,2644541275,301040198,149219854
2012,159052967,144055997,13297599213,106849061,583863212,780538371,2583513770,262915594,150168887
2011,167723599,139882666,15350476263,105319264,535623958,920717465,2326896846,245664870,169262142
2010,171255424,126004596,16275207675,111081846,478854381,1011175444,2222000000,236145672,136826548
2009,177799783,123246058,14137328570,102300886,482843414,764109156,2832192530,243698109,143760266
2008,182807850,126574522,13170759664,108783005,462443209,1151743747,2119544911,251074968,145410459
2007,181933558,154668245,12312296434,117663106,472938700,824865981,2685425504,246454915,138347020
2006,162447358,131037323,12322309719,135650980,393550380,759464083,1893200000,222577050,138848736
2005,143214313,115920252,10743389655,106994700,384386866,644980164,2080324900,194523994,119906552
2004,140981174,150405707,10098911272,104628770,515473296,637210507,2122693451,184748395,119965838
2003,145006838,106775901,10491105996,74859983,414752756,497564594,2094043818,165595793,113391793
2002,153740000,38620000,9836000000,94640000,270600000,733800000,1564400000,123800000,112600000
2001,146870000,29310000,9418000000,92320000,235300000,716900000,1482200000,111900000,106300000
2000,140000000,20000000,9000000000,90000000,200000000,700000000,1400000000,100000000,100000000
1999,133130000,10690000,8582000000,87680000,164700000,683100000,1317800000,88100000,93700000
1998,126260000,1380000,8164000000,85360000,129400000,666200000,1235600000,76200000,87400000
1997,119390000,-7930000,7746000000,83040000,94100000,649300000,1153400000,64300000,81100000
1996,112520000,-17240000,7328000000,80720000,58800000,632400000,1071200000,52400000,74800000
1995,105650000,-26550000,6910000000,78400000,23500000,615500000,989000000,40500000,68500000
1994,98780000,-35860000,6492000000,76080000,-11800000,598600000,906800000,28600000,62200000
1993,91910000,-45170000,6074000000,73760000,-47100000,581700000,824600000,16700000,55900000
1992,85040000,-54480000,5656000000,71440000,-82400000,564800000,742400000,4800000,49600000
1991,78170000,-63790000,5238000000,69120000,-117700000,547900000,660200000,-7100000,43300000
1990,71300000,-73100000,4820000000,66800000,-153000000,531000000,578000000,-19000000,37000000
