Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2018.06.01.01,1003.0,348.0,245.0,357.0,4061.0,0.0,0.0,6014.0,2238.0,2785.0,7861.0,3315.0
2018.06.01.02,1004.0,347.0,245.0,356.0,4078.0,0.0,0.0,6030.0,2238.0,2580.0,7380.0,3071.0
2018.06.01.03,1004.0,349.0,245.0,355.0,3915.0,0.0,0.0,4864.0,2249.0,3137.0,7324.0,3181.0
2018.06.01.04,1004.0,350.0,245.0,359.0,3877.0,0.0,0.0,5835.0,2270.0,1846.0,7406.0,3203.0
2018.06.01.05,1002.0,348.0,246.0,359.0,3689.0,0.0,0.0,5644.0,2269.0,1697.0,8091.0,3274.0
2018.06.01.06,1001.0,354.0,245.0,489.0,3123.0,0.0,0.0,5212.0,2271.0,2017.0,8812.0,3529.0
2018.06.01.07,998.0,359.0,245.0,533.0,2650.0,1628.0,15.0,6428.0,2276.0,2108.0,8767.0,3475.0
2018.06.01.08,994.0,365.0,245.0,535.0,1827.0,5406.0,230.0,9602.0,2274.0,2045.0,7060.0,3060.0
2018.06.01.09,989.0,367.0,243.0,462.0,1140.0,8011.0,476.0,11688.0,2273.0,1820.0,6050.0,2562.0
2018.06.01.10,986.0,361.0,242.0,430.0,686.0,9215.0,547.0,12467.0,2277.0,1774.0,5509.0,2672.0
2018.06.01.11,973.0,351.0,243.0,431.0,581.0,9819.0,565.0,12963.0,2277.0,1630.0,5338.0,2561.0
2018.06.01.12,955.0,349.0,243.0,428.0,653.0,10065.0,583.0,13276.0,2277.0,1566.0,5098.0,2560.0
2018.06.01.13,949.0,346.0,242.0,388.0,612.0,10058.0,599.0,13194.0,2278.0,1942.0,4682.0,2591.0
2018.06.01.14,947.0,350.0,242.0,382.0,624.0,10084.0,602.0,13231.0,2280.0,2196.0,4566.0,2548.0
2018.06.01.15,947.0,345.0,242.0,410.0,630.0,9996.0,599.0,13169.0,2279.0,3066.0,4123.0,2687.0
2018.06.01.16,948.0,362.0,242.0,478.0,685.0,9590.0,597.0,12902.0,2278.0,3777.0,4383.0,2774.0
2018.06.01.17,947.0,369.0,242.0,513.0,960.0,8855.0,599.0,12485.0,2278.0,4101.0,5270.0,2844.0
2018.06.01.18,945.0,374.0,242.0,532.0,1680.0,7467.0,554.0,11794.0,2280.0,5096.0,5605.0,3047.0
2018.06.01.19,960.0,381.0,243.0,570.0,2141.0,4307.0,357.0,8959.0,2280.0,6415.0,6989.0,3692.0
2018.06.01.20,976.0,382.0,243.0,568.0,2440.0,843.0,61.0,5513.0,2280.0,7580.0,9507.0,3817.0
2018.06.01.21,981.0,379.0,243.0,556.0,2630.0,2.0,12.0,4803.0,2282.0,7454.0,10605.0,3956.0
2018.06.01.22,983.0,379.0,242.0,537.0,2448.0,0.0,0.0,4589.0,2282.0,6861.0,10723.0,3950.0
2018.06.01.23,984.0,360.0,242.0,498.0,2073.0,0.0,0.0,4157.0,2281.0,6018.0,10532.0,3624.0
2018.06.01.24,986.0,354.0,242.0,392.0,1729.0,0.0,0.0,3703.0,2280.0,5019.0,10316.0,3382.0
2018.06.02.01,987.0,359.0,242.0,389.0,1611.0,0.0,0.0,3588.0,2280.0,4181.0,9778.0,3411.0
2018.06.02.02,988.0,365.0,242.0,384.0,1545.0,0.0,0.0,3524.0,2281.0,3347.0,9605.0,3363.0
2018.06.02.03,988.0,373.0,243.0,386.0,1522.0,0.0,0.0,2524.0,2280.0,3421.0,9766.0,3340.0
2018.06.02.04,986.0,380.0,242.0,388.0,1411.0,0.0,0.0,3407.0,2281.0,2022.0,9906.0,3219.0
2018.06.02.05,973.0,383.0,243.0,386.0,1299.0,0.0,0.0,3284.0,2281.0,1873.0,10031.0,3339.0
2018.06.02.06,974.0,386.0,245.0,477.0,1163.0,0.0,0.0,3245.0,2282.0,1851.0,10205.0,3414.0
2018.06.02.07,974.0,401.0,244.0,520.0,1038.0,1601.0,11.0,4789.0,2281.0,1706.0,9051.0,3341.0
2018.06.02.08,970.0,401.0,244.0,480.0,858.0,5358.0,230.0,8541.0,2281.0,1355.0,6712.0,2709.0
2018.06.02.09,967.0,402.0,244.0,380.0,768.0,8058.0,454.0,11273.0,2282.0,1229.0,5000.0,2602.0
2018.06.02.10,965.0,392.0,245.0,376.0,764.0,9111.0,474.0,12327.0,2283.0,1227.0,4501.0,2586.0
2018.06.02.11,962.0,382.0,242.0,377.0,805.0,9658.0,477.0,12903.0,2282.0,1244.0,4356.0,2673.0
2018.06.02.12,959.0,395.0,243.0,373.0,834.0,9946.0,382.0,13132.0,2282.0,1563.0,4299.0,2717.0
