,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
California,"29,950,111","30,414,114","30,875,920","31,147,208","31,317,179","31,493,525","31,780,829","32,217,708","32,682,794","33,145,121"
Alameda County,"1,305,802","1,315,144","1,328,589","1,334,736","1,336,359","1,340,267","1,351,804","1,372,202","1,397,050","1,415,582"
Alpine County,"1,106","1,158","1,147","1,185","1,184","1,227","1,239","1,212","1,192","1,161"
Amador County,"30,289","31,262","31,854","32,285","32,693","32,976","33,214","33,423","33,415","34,153"
Butte County,"183,497","186,851","188,905","190,670","191,811","192,543","192,116","193,061","194,347","195,220"
Calaveras County,"32,539","34,030","35,221","35,945","37,097","37,729","38,476","39,144","39,642","40,051"
Colusa County,"16,340","16,596","16,882","17,056","17,331","17,679","18,033","18,425","18,596","18,844"
Contra Costa County,"809,199","822,332","838,364","850,732","859,872","869,437","881,213","899,494","917,970","933,141"
Del Norte County,"23,984","25,849","26,601","26,833","27,063","26,726","26,864","27,186","27,006","26,477"
El Dorado County,"128,095","133,480","137,444","141,771","144,961","148,185","151,257","154,798","158,322","161,358"
Fresno County,"671,660","688,511","703,846","717,746","727,869","734,615","743,479","750,640","755,051","763,069"
Glenn County,"24,916","25,199","25,509","25,642","25,783","26,008","26,111","26,214","26,176","26,328"
Humboldt County,"119,596","120,612","121,751","122,234","121,480","122,814","122,421","122,639","122,163","121,358"
Imperial County,"110,930","117,663","127,533","134,624","136,248","139,418","140,921","142,155","143,735","145,287"
Inyo County,"18,273","18,321","18,374","18,346","18,450","18,420","18,338","18,273","18,071","17,958"
Kern County,"549,219","569,829","586,745","597,880","608,858","612,897","618,020","624,577","631,615","642,495"
Kings County,"101,809","104,357","106,510","107,978","110,146","112,076","113,329","114,344","118,667","123,241"
Lake County,"51,106","52,802","53,919","54,839","55,243","55,230","55,098","54,842","55,076","55,405"
Lassen County,"27,653","28,038","27,973","28,231","28,062","28,296","31,270","33,432","33,281","33,028"
Los Angeles County,"8,875,317","8,931,985","9,021,867","9,064,197","9,048,129","9,029,470","9,056,547","9,126,131","9,223,807","9,329,989"
Madera County,"89,014","95,042","98,751","102,681","105,181","106,535","109,751","112,440","114,523","116,760"
Marin County,"230,263","232,088","233,528","234,606","234,777","233,943","232,489","234,518","236,377","236,768"
Mariposa County,"14,412","14,862","15,242","15,439","15,553","15,652","15,836","15,559","15,786","15,605"
Mendocino County,"80,820","81,543","81,645","81,629","81,791","82,483","82,930","83,268","83,754","84,085"
Merced County,"179,812","185,381","188,184","191,195","195,205","192,175","190,991","193,893","197,261","200,746"
