County,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
California,"29,950,111","30,414,114","30,875,920","31,147,208","31,317,179","31,493,525","31,780,829","32,217,708","32,682,794","33,145,121","33,987,977","34,479,458","34,871,843","35,253,159","35,574,576","35,827,943","36,021,202","36,250,311","36,604,337","36,961,229","37,319,502","37,638,369","37,948,800","38,260,787","38,596,972","38,918,045","39,167,117","39,358,497","39,461,588","39,512,223"
Alameda County,"1,305,802","1,315,144","1,328,589","1,334,736","1,336,359","1,340,267","1,351,804","1,372,202","1,397,050","1,415,582","1,449,840","1,469,484","1,462,106","1,454,163","1,445,721","1,441,545","1,444,484","1,455,715","1,477,208","1,498,539","1,512,986","1,530,915","1,553,764","1,579,593","1,607,792","1,634,538","1,650,950","1,660,196","1,666,756","1,671,329"
Alpine County,"1,106","1,158","1,147","1,185","1,184","1,227","1,239","1,212","1,192","1,161","1,209","1,196","1,237","1,233","1,263","1,219","1,276","1,274","1,202","1,197","1,161","1,093","1,110","1,128","1,080","1,077","1,047","1,111","1,089","1,129"
Amador County,"30,289","31,262","31,854","32,285","32,693","32,976","33,214","33,423","33,415","34,153","35,153","35,697","36,561","36,994","37,400","38,040","38,353","38,756","38,248","38,238","37,886","37,543","37,104","36,620","36,726","37,031","37,429","38,529","39,405","39,752"
Butte County,"183,497","186,851","188,905","190,670","191,811","192,543","192,116","193,061","194,347","195,220","203,807","206,193","209,120","211,481","213,065","214,752","216,824","217,469","219,034","219,777","219,949","219,975","220,869","221,641","223,516","224,631","226,231","228,696","230,339","219,186"
Calaveras County,"32,539","34,030","35,221","35,945","37,097","37,729","38,476","39,144","39,642","40,051","40,645","41,304","42,380","43,755","44,530","45,295","46,045","46,268","46,265","45,900","45,468","45,160","44,815","44,655","44,671","44,965","45,322","45,681","45,698","45,905"
Colusa County,"16,340","16,596","16,882","17,056","17,331","17,679","18,033","18,425","18,596","18,844","18,817","19,022","19,232","19,568","20,207","20,540","20,890","21,075","21,134","21,250","21,437","21,323","21,284","21,250","21,176","21,231","21,496","21,579","21,418","21,547"
Contra Costa County,"809,199","822,332","838,364","850,732","859,872","869,437","881,213","899,494","917,970","933,141","952,810","970,952","979,862","987,531","992,424","999,013","1,000,834","1,009,152","1,023,344","1,037,890","1,052,540","1,065,440","1,077,548","1,093,401","1,108,876","1,124,405","1,137,268","1,145,535","1,150,519","1,153,526"
Del Norte County,"23,984","25,849","26,601","26,833","27,063","26,726","26,864","27,186","27,006","26,477","27,440","27,292","27,397","27,601","27,950","28,281","28,211","28,415","28,496","28,599","28,566","28,443","28,190","27,816","27,175","27,190","27,382","27,351","27,740","27,812"
El Dorado County,"128,095","133,480","137,444","141,771","144,961","148,185","151,257","154,798","158,322","161,358","157,162","161,101","165,195","168,331","171,653","175,003","176,773","177,694","179,150","180,455","181,136","180,936","180,575","181,481","183,108","184,569","185,976","188,679","190,746","192,843"
