County,California,Alameda County,Alpine County,Amador County,Butte County,Calaveras County,Colusa County,Contra Costa County,Del Norte County,El Dorado County,Fresno County,Glenn County,Humboldt County,Imperial County,Inyo County,Kern County,Kings County,Lake County,Lassen County,Los Angeles County,Madera County,Marin County,Mariposa County,Mendocino County,Merced County,Modoc County,Mono County,Monterey County,Napa County,Nevada County,Orange County,Placer County,Plumas County,Riverside County,Sacramento County,San Benito County,San Bernardino County,San Diego County,San Francisco County,San Joaquin County,San Luis Obispo County,San Mateo County,Santa Barbara County,Santa Clara County,Santa Cruz County,Shasta County,Sierra County,Siskiyou County,Solano County,Sonoma County,Stanislaus County,Sutter County,Tehama County,Trinity County,Tulare County,Tuolumne County,Ventura County,Yolo County,Yuba County
1990,"29,950,111","1,305,802","1,106","30,289","183,497","32,539","16,340","809,199","23,984","128,095","671,660","24,916","119,596","110,930","18,273","549,219","101,809","51,106","27,653","8,875,317","89,014","230,263","14,412","80,820","179,812","9,668","10,075","356,947","111,215","79,185","2,417,569","175,421","19,811","1,193,639","1,075,309","36,828","1,437,012","2,513,216","722,749","484,360","218,117","650,050","370,420","1,497,644","229,385","148,660","3,320","43,713","343,460","390,152","375,259","64,853","49,873","13,051","313,897","48,837","670,132","141,991","58,642"
1991,"30,414,114","1,315,144","1,158","31,262","186,851","34,030","16,596","822,332","25,849","133,480","688,511","25,199","120,612","117,663","18,321","569,829","104,357","52,802","28,038","8,931,985","95,042","232,088","14,862","81,543","185,381","9,693","9,806","361,559","111,897","81,419","2,445,044","181,342","20,095","1,248,277","1,103,715","37,305","1,491,021","2,554,271","725,237","494,221","219,091","654,577","374,051","1,508,020","228,984","154,034","3,318","43,917","354,889","396,592","385,831","67,159","51,025","13,087","322,884","50,105","675,485","143,853","59,375"
1992,"30,875,920","1,328,589","1,147","31,854","188,905","35,221","16,882","838,364","26,601","137,444","703,846","25,509","121,751","127,533","18,374","586,745","106,510","53,919","27,973","9,021,867","98,751","233,528","15,242","81,645","188,184","9,775","9,933","366,296","113,631","83,131","2,483,337","186,799","20,612","1,290,328","1,114,853","38,283","1,532,114","2,601,147","727,291","503,293","220,353","661,529","376,523","1,523,971","230,983","157,319","3,288","44,056","359,849","402,387","394,159","69,204","51,904","13,171","330,451","50,543","684,004","144,364","60,655"
1993,"31,147,208","1,334,736","1,185","32,285","190,670","35,945","17,056","850,732","26,833","141,771","717,746","25,642","122,234","134,624","18,346","597,880","107,978","54,839","28,231","9,064,197","102,681","234,606","15,439","81,629","191,195","9,590","10,260","362,913","114,034","84,221","2,513,289","192,007","20,745","1,321,304","1,119,353","39,443","1,545,508","2,609,266","729,746","509,810","221,030","667,971","378,009","1,539,465","232,600","158,520","3,344","43,804","364,148","406,467","400,923","70,717","52,143","13,213","337,107","51,442","690,066","144,980","61,290"
1994,"31,317,179","1,336,359","1,184","32,693","191,811","37,097","17,331","859,872","27,063","144,961","727,869","25,783","121,480","136,248","18,450","608,858","110,146","55,243","28,062","9,048,129","105,181","234,777","15,553","81,791","195,205","9,682","10,559","342,872","114,956","85,644","2,541,371","198,429","20,540","1,354,966","1,119,846","40,728","1,553,732","2,626,939","729,051","516,797","223,264","673,139","381,528","1,550,060","234,059","159,684","3,329","43,972","365,383","410,123","405,152","72,697","52,945","13,479","342,838","51,877","698,901","145,796","61,695"
1995,"31,493,525","1,340,267","1,227","32,976","192,543","37,729","17,679","869,437","26,726","148,185","734,615","26,008","122,814","139,418","18,420","612,897","112,076","55,230","28,296","9,029,470","106,535","233,943","15,652","82,483","192,175","9,578","10,488","343,082","115,320","87,105","2,572,393","205,963","20,518","1,383,646","1,128,394","42,267","1,569,793","2,641,561","730,628","523,653","225,664","677,837","381,289","1,566,760","234,717","160,510","3,380","44,221","364,191","414,688","408,919","74,354","53,771","13,436","344,633","51,564","703,990","147,399","61,012"
1996,"31,780,829","1,351,804","1,239","33,214","192,116","38,476","18,033","881,213","26,864","151,257","743,479","26,111","122,421","140,921","18,338","618,020","113,329","55,098","31,270","9,056,547","109,751","232,489","15,836","82,930","190,991","9,642","10,400","347,292","116,387","88,579","2,606,488","213,335","20,414","1,406,769","1,141,118","44,089","1,588,541","2,673,685","735,228","531,560","228,546","685,365","382,215","1,593,625","235,633","161,327","3,396","44,058","366,408","419,268","413,484","75,366","53,863","13,382","346,607","52,173","710,920","149,077","60,842"
1997,"32,217,708","1,372,202","1,212","33,423","193,061","39,144","18,425","899,494","27,186","154,798","750,640","26,214","122,639","142,155","18,273","624,577","114,344","54,842","33,432","9,126,131","112,440","234,518","15,559","83,268","193,893","9,603","10,410","358,888","117,944","89,981","2,665,599","220,477","20,429","1,439,674","1,152,550","46,639","1,609,221","2,722,060","740,993","539,997","231,426","695,689","386,789","1,621,660","238,862","162,603","3,369","44,264","371,063","426,438","419,446","76,450","53,816","13,162","350,192","52,338","722,156","151,496","60,154"
1998,"32,682,794","1,397,050","1,192","33,415","194,347","39,642","18,596","917,970","27,006","158,322","755,051","26,176","122,163","143,735","18,071","631,615","118,667","55,076","33,281","9,223,807","114,523","236,377","15,786","83,754","197,261","9,338","10,307","366,631","119,540","91,114","2,723,782","229,216","20,362","1,480,708","1,166,699","48,984","1,635,967","2,766,123","745,756","549,684","234,074","701,080","389,472","1,641,848","243,200","164,156","3,376","44,024","376,748","433,777","426,872","77,069","54,016","13,043","354,527","53,029","732,143","153,293","59,953"
1999,"33,145,121","1,415,582","1,161","34,153","195,220","40,051","18,844","933,141","26,477","161,358","763,069","26,328","121,358","145,287","17,958","642,495","123,241","55,405","33,028","9,329,989","116,760","236,768","15,605","84,085","200,746","9,210","10,512","371,756","120,962","92,014","2,760,948","239,485","20,370","1,530,653","1,184,586","51,276","1,669,934","2,820,844","746,777","563,183","236,953","702,102","391,071","1,647,419","245,201","164,530","3,334","43,570","385,723","439,970","436,790","78,423","54,012","12,927","358,470","53,764","745,063","155,573","59,607"
2000,"33,987,977","1,449,840","1,209","35,153","203,807","40,645","18,817","952,810","27,440","157,162","801,288","26,416","126,462","142,410","17,955","663,803","129,835","58,538","33,719","9,538,191","123,587","247,520","17,101","86,407","212,258","9,406","12,921","402,990","124,565","92,520","2,854,513","251,012","20,754","1,558,985","1,229,940","53,781","1,718,037","2,827,366","777,885","567,885","247,839","707,820","399,990","1,684,947","255,835","163,615","3,574","44,218","396,974","460,421","449,471","79,192","56,170","12,980","368,627","54,658","756,506","169,835","60,372"
2001,"34,479,458","1,469,484","1,196","35,697","206,193","41,304","19,022","970,952","27,292","161,101","813,021","26,450","127,520","143,707","18,117","676,574","132,881","60,219","33,548","9,626,034","125,581","247,866","17,099","86,841","218,816","9,350","13,224","407,082","126,818","93,715","2,885,457","263,615","20,820","1,616,634","1,266,257","54,644","1,760,731","2,869,672","780,865","591,207","251,462","705,621","403,164","1,688,082","256,045","166,408","3,518","43,908","404,209","465,293","463,761","80,138","56,685","12,859","373,171","55,253","766,689","175,337","61,249"
2002,"34,871,843","1,462,106","1,237","36,561","209,120","42,380","19,232","979,862","27,397","165,195","829,762","26,651","128,780","145,640","18,394","694,059","135,369","61,513","33,430","9,705,913","128,369","246,225","17,243","87,364","225,351","9,362","13,404","408,977","128,744","94,647","2,908,245","276,907","20,866","1,687,147","1,301,079","55,056","1,799,791","2,900,355","772,723","609,041","253,083","697,628","405,178","1,669,348","254,531","170,198","3,482","43,965","408,226","465,298","477,469","82,162","57,380","13,064","379,568","55,850","779,489","180,327","62,100"
2003,"35,253,159","1,454,163","1,233","36,994","211,481","43,755","19,568","987,531","27,601","168,331","847,193","27,016","129,754","148,984","18,593","714,272","139,393","62,496","33,930","9,767,145","132,738","245,054","17,707","88,140","231,735","9,501","13,352","409,725","130,138","95,606","2,929,376","290,726","20,957","1,771,656","1,328,531","55,198","1,846,115","2,914,702","766,160","626,778","254,674","693,057","406,810","1,663,592","253,021","173,202","3,511","44,287","408,409","466,489","487,357","84,671","58,528","13,210","388,743","56,513","788,070","182,954","62,733"
2004,"35,574,576","1,445,721","1,263","37,400","213,065","44,530","20,207","992,424","27,950","171,653","861,035","27,122","130,702","152,259","18,578","736,296","143,601","63,116","34,458","9,793,263","137,106","243,769","17,844","88,030","237,180","9,605","13,360","408,731","130,387","96,512","2,941,711","302,841","21,000","1,856,542","1,348,932","54,849","1,899,065","2,930,007","761,325","642,898","256,842","690,161","407,284","1,663,167","252,356","174,867","3,430","44,394","409,301","466,809","492,613","86,484","59,571","13,159","398,226","56,602","793,994","185,237","63,742"
2005,"35,827,943","1,441,545","1,219","38,040","214,752","45,295","20,540","999,013","28,281","175,003","872,470","27,393","131,497","156,113","18,478","760,726","145,147","63,811","34,488","9,786,373","140,313","244,206","17,972","87,981","242,554","9,565","13,474","405,139","130,381","97,250","2,940,055","312,762","21,010","1,931,785","1,360,816","54,647","1,943,924","2,938,375","763,016","656,985","258,615","690,078","408,079","1,675,312","251,377","175,615","3,378","44,641","408,181","465,938","500,020","88,764","60,602","13,440","407,970","56,788","794,197","186,269","66,285"
2006,"36,021,202","1,444,484","1,276","38,353","216,824","46,045","20,890","1,000,834","28,211","176,773","883,862","27,652","132,093","160,505","18,370","784,511","147,712","64,202","34,605","9,737,955","143,622","244,580","18,219","87,345","245,338","9,617","13,743","401,831","131,440","97,549","2,932,261","321,934","20,762","2,012,370","1,369,563","54,124","1,974,140","2,947,289","768,650","662,812","260,498","690,176","408,085","1,691,159","251,616","176,166","3,424","44,487","408,402","465,188","504,651","91,112","61,587","13,634","414,921","56,680","798,183","189,615","69,272"
2007,"36,250,311","1,455,715","1,274","38,756","217,469","46,268","21,075","1,009,152","28,415","177,694","895,933","27,775","132,001","164,596","18,426","803,281","150,420","64,077","35,615","9,700,359","146,067","246,248","18,366","87,071","248,540","9,525","13,678","402,376","132,583","97,794","2,931,629","329,023","20,667","2,075,183","1,381,161","54,072","1,992,161","2,975,742","778,673","668,080","262,770","693,849","411,243","1,712,026","253,304","176,548","3,373","44,465","408,243","467,356","507,834","92,959","62,147","13,648","422,140","56,339","800,027","194,339","70,761"
2008,"36,604,337","1,477,208","1,202","38,248","219,034","46,265","21,134","1,023,344","28,496","179,150","909,630","28,019","132,657","167,917","18,318","818,327","152,027","64,392","35,221","9,735,147","148,359","248,398","18,412","87,468","250,538","9,551","13,862","406,022","134,093","98,200","2,957,593","337,568","20,410","2,109,712","1,394,438","54,267","2,003,735","3,022,116","791,152","671,692","266,358","703,830","415,859","1,740,964","256,520","177,247","3,320","44,780","408,972","473,091","509,032","93,855","62,648","13,656","429,283","56,320","806,353","197,154","71,773"
2009,"36,961,229","1,498,539","1,197","38,238","219,777","45,900","21,250","1,037,890","28,599","180,455","921,478","28,100","133,744","172,008","18,544","830,137","152,278","64,413","35,160","9,787,400","149,234","250,862","18,212","87,722","252,302","9,646","14,008","410,263","135,280","98,591","2,987,177","343,810","20,169","2,146,725","1,408,601","54,436","2,013,960","3,061,203","801,922","677,736","268,145","713,617","420,356","1,765,137","260,009","177,279","3,248","44,788","410,290","479,479","511,536","94,366","62,891","13,762","436,987","55,845","815,130","199,791","71,607"
2010,"37,319,502","1,512,986","1,161","37,886","219,949","45,468","21,437","1,052,540","28,566","181,136","932,039","28,127","135,009","174,716","18,511","840,996","152,370","64,735","34,831","9,823,246","150,986","252,904","18,277","87,799","256,721","9,694","14,257","416,373","136,759","98,790","3,015,171","350,021","19,914","2,201,576","1,421,383","55,516","2,040,848","3,103,212","805,505","687,127","269,802","719,699","424,231","1,786,040","263,147","177,274","3,220","44,938","413,967","484,755","515,145","94,751","63,559","13,755","442,969","55,190","825,097","201,073","72,348"
2011,"37,638,369","1,530,915","1,093","37,543","219,975","45,160","21,323","1,065,440","28,443","180,936","939,406","28,139","135,243","175,786","18,392","847,970","151,868","64,251","34,246","9,876,482","151,675","255,376","18,170","87,334","259,297","9,509","14,422","420,456","137,691","98,701","3,049,271","356,328","19,719","2,234,070","1,433,730","55,977","2,060,827","3,137,156","815,650","694,354","271,058","728,344","425,453","1,812,054","264,858","177,588","3,098","44,615","416,342","487,421","517,560","94,482","63,331","13,685","446,784","54,830","830,099","201,954","72,489"
2012,"37,948,800","1,553,764","1,110","37,104","220,869","44,815","21,284","1,077,548","28,190","180,575","945,045","27,851","134,572","176,575","18,351","853,606","150,991","63,954","33,629","9,935,375","151,527","256,061","17,881","87,288","260,867","9,351","14,331","424,788","138,538","98,137","3,078,068","360,263","19,377","2,261,204","1,444,852","56,599","2,073,512","3,174,335","828,876","699,593","274,160","739,224","429,699","1,837,853","266,340","177,875","3,067","44,079","419,674","489,993","520,424","94,189","63,212","13,489","449,779","54,221","833,516","204,576","72,774"
2013,"38,260,787","1,579,593","1,128","36,620","221,641","44,655","21,250","1,093,401","27,816","181,481","951,514","27,809","134,403","176,438","18,357","862,000","150,337","63,796","32,129","9,992,484","151,370","258,409","17,809","87,054","262,026","9,145","14,067","426,712","139,580","97,938","3,104,950","365,398","18,895","2,286,755","1,457,341","57,239","2,082,738","3,209,768","839,572","702,046","275,696","748,661","434,601","1,866,425","268,816","178,397","3,028","43,532","423,659","494,073","523,451","94,507","62,875","13,427","452,460","53,997","838,136","206,292","73,090"
2014,"38,596,972","1,607,792","1,080","36,726","223,516","44,671","21,176","1,108,876","27,175","183,108","960,567","27,831","134,494","177,974","18,292","869,176","149,495","64,044","31,664","10,040,072","153,456","260,359","17,714","87,225","264,419","9,068","14,134","428,475","140,405","98,572","3,126,537","369,217","18,622","2,316,162","1,474,917","57,825","2,099,181","3,248,877","850,750","711,579","278,227","757,204","439,045","1,891,753","270,861","178,844","2,972","43,338","429,006","498,560","528,015","94,778","62,801","13,128","455,138","53,851","842,297","208,398","73,533"
2015,"38,918,045","1,634,538","1,077","37,031","224,631","44,965","21,231","1,124,405","27,190","184,569","969,488","27,753","135,102","178,937","18,108","876,031","150,085","64,260","31,256","10,085,416","153,576","260,916","17,622","87,107","266,353","9,056","14,077","430,552","140,862","98,676","3,149,280","372,841","18,427","2,345,816","1,493,674","58,216","2,115,411","3,280,850","863,010","722,271","280,077","765,055","442,229","1,916,285","273,503","178,314","2,985","43,254","433,409","500,863","533,211","95,282","63,158","13,094","457,161","53,615","845,802","212,037","74,045"
2016,"39,167,117","1,650,950","1,047","37,429","226,231","45,322","21,496","1,137,268","27,382","185,976","976,830","27,840","136,290","180,179","17,922","880,856","149,382","63,903","30,721","10,105,708","153,956","260,562","17,456","87,285","267,628","8,961","14,273","433,953","140,840","98,913","3,164,986","378,943","18,665","2,380,081","1,510,987","59,225","2,131,960","3,306,089","871,512","732,809","281,803","767,906","444,340","1,928,368","274,396","178,571","2,951","43,376","438,858","502,547","539,255","95,742","63,453","12,828","459,235","53,770","847,323","215,627","74,952"
2017,"39,358,497","1,660,196","1,111","38,529","228,696","45,681","21,579","1,145,535","27,351","188,679","985,238","27,926","136,507","181,649","17,868","887,356","149,665","64,111","30,920","10,103,711","155,423","259,749","17,414","87,576","271,096","8,876","14,354","434,534","139,878","99,367","3,174,289","385,115","18,660","2,414,964","1,527,301","60,164","2,150,945","3,321,237","878,040","743,296","282,481","768,901","445,298","1,932,510","274,856","179,384","3,002","43,622","443,511","502,469","544,717","96,204","63,847","12,726","462,308","53,976","849,044","218,477","76,578"
2018,"39,461,588","1,666,756","1,089","39,405","230,339","45,698","21,418","1,150,519","27,740","190,746","991,950","27,967","136,244","181,523","17,946","893,758","151,382","64,317","30,618","10,073,906","156,882","259,662","17,405","87,401","274,151","8,800","14,403","433,950","138,789","99,508","3,175,973","392,330","18,741","2,445,789","1,538,746","61,467","2,166,753","3,333,861","880,696","752,491","283,354","768,681","445,780","1,932,337","273,841","179,709","2,997","43,550","445,725","498,643","548,126","96,348","64,018","12,567","464,589","54,387","848,142","220,118","77,557"
2019,"39,512,223","1,671,329","1,129","39,752","219,186","45,905","21,547","1,153,526","27,812","192,843","999,101","28,393","135,558","181,215","18,039","900,202","152,940","64,386","30,573","10,039,107","157,327","258,826","17,203","86,749","277,680","8,841","14,444","434,061","137,744","99,755","3,175,692","398,329","18,807","2,470,546","1,552,058","62,808","2,180,085","3,338,330","881,549","762,148","283,111","766,573","446,499","1,927,852","273,213","180,080","3,005","43,539","447,643","494,336","550,660","96,971","65,084","12,285","466,195","54,478","846,006","220,500","78,668"
