Year,Alameda County,Los Angeles County,Merced County,Riverside County,San Diego County,San Mateo County,Santa Barbara County,Santa Clara County,Santa Cruz County
1990,1.096754055,7.391300796,0.266789097,0.772152722,1.643376197,0.452919978,0.283634074,1.603891634,0.146979907
1991,1.064473029,7.159228419,0.23291795,0.788224954,1.571836325,0.444078623,0.287771199,1.593661014,0.145206919
1992,1.060219557,7.223044243,0.244704555,0.823181391,1.655446511,0.446115038,0.293136165,1.607139829,0.147655333
1993,1.117580562,7.100540271,0.319941947,0.818479171,1.646302058,0.451548475,0.296948514,1.608795871,0.149794693
1994,1.077945598,7.166858867,0.246170122,1.028878759,1.681973018,0.450021815,0.292831999,1.590879347,0.148991
1995,1.12538686,7.130828252,0.292048909,1.043163275,1.700723566,0.459097799,0.29564877,1.608250897,0.156232481
1996,1.185426237,7.32656969,0.315283488,1.090435585,1.753400103,0.470317,0.304616585,1.655876083,0.155148481
1997,1.19841083,7.518751431,0.313891085,1.123260721,1.824157314,0.497303725,0.31778935,1.750409586,0.163510251
1998,1.139830269,7.500729192,0.275264963,1.137086624,1.871613289,0.506137198,0.312253112,1.796082914,0.159585154
1999,1.216532475,7.615674385,0.371697151,1.227374221,1.990151548,0.523146097,0.311692741,1.874048945,0.169650168
2000,1.217141746,7.927376964,0.329067409,1.326902718,2.051263826,0.548950151,0.327136922,1.896489176,0.175642591
2001,1.163078534,7.961344337,0.320228272,1.18920832,1.866359139,0.482865819,0.313208196,1.757635272,0.167579645
2002,1.190065831,7.730021729,0.336879447,1.313813342,1.916692741,0.481152756,0.344946103,1.657657126,0.161323321
2003,1.209988745,7.821636651,0.326179548,1.455749751,2.002454268,0.526562447,0.341877053,1.733093756,0.155706757
2004,1.218165789,7.901020024,0.351917673,1.449832493,2.105427429,0.543712685,0.361377069,1.753233994,0.167667817
2005,1.263246745,7.989779733,0.330619738,1.511624121,2.108117472,0.518773374,0.370246678,1.776755307,0.159868307
2006,1.276506869,8.097540943,0.3206169,1.734764306,2.216909352,0.533283685,0.363990399,1.832891807,0.163901545
2007,1.339936621,8.134186536,0.418715792,1.706865852,2.24256275,0.570854806,0.363044721,1.878710357,0.16096692
2008,1.276024233,8.228524426,0.311043905,1.722331932,2.28157316,0.579521298,0.372851831,1.909881123,0.155201175
2009,1.182478663,7.985113916,0.313060035,1.655646174,2.23300693,0.567511489,0.369748478,1.890094367,0.145992218
2010,1.223996689,7.792016886,0.387648684,1.604689513,2.182106007,0.544192108,0.369031289,1.856480978,0.144776269
2011,1.253362435,7.785088207,0.417497156,1.645221928,2.18282965,0.521961122,0.36998417,1.888747787,0.143902577
2012,1.209013196,7.907689663,0.377207998,1.744624153,2.242794066,0.51535532,0.372614779,1.88391491,0.144519453
2013,1.212175942,7.805171052,0.348959436,1.72812968,2.247435866,0.517388283,0.385196913,1.891794439,0.145686095
2014,1.175785136,7.985550131,0.344750299,1.773280497,2.282985531,0.508795551,0.389419396,1.902048577,0.141346776
2015,1.168422944,7.937476414,0.333382399,1.741170991,2.271060895,0.506280701,0.354927477,1.917215548,0.140954345
2016,1.231874982,7.9239777,0.395304953,1.759059523,2.24494037,0.495634708,0.325755153,1.919478853,0.139910849
2017,1.264777462,7.837525135,0.452748722,1.810243249,2.245142185,0.497426002,0.320285671,1.942548817,0.139619402
2018,1.186228519,7.751995733,0.405404202,1.812494845,2.252582737,0.485800583,0.323348812,1.906798249,0.138523966
2019,1.219644505,7.547793722,0.422215346,1.771704313,2.174392028,0.493753353,0.314796013,1.902335681,0.137064412
