Year,Alameda County,Los Angeles County,Merced County,Riverside County,San Diego County,San Mateo County,Santa Barbara County,Santa Clara County,Santa Cruz County
1990,71300000,4820000000,66800000,531000000,578000000,-73100000,-19000000,-153000000,37000000
1991,78170000,5238000000,69120000,547900000,660200000,-63790000,-7100000,-117700000,43300000
1992,85040000,5656000000,71440000,564800000,742400000,-54480000,4800000,-82400000,49600000
1993,91910000,6074000000,73760000,581700000,824600000,-45170000,16700000,-47100000,55900000
1994,98780000,6492000000,76080000,598600000,906800000,-35860000,28600000,-11800000,62200000
1995,105650000,6910000000,78400000,615500000,989000000,-26550000,40500000,23500000,68500000
1996,112520000,7328000000,80720000,632400000,1071200000,-17240000,52400000,58800000,74800000
1997,119390000,7746000000,83040000,649300000,1153400000,-7930000,64300000,94100000,81100000
1998,126260000,8164000000,85360000,666200000,1235600000,1380000,76200000,129400000,87400000
1999,133130000,8582000000,87680000,683100000,1317800000,10690000,88100000,164700000,93700000
2000,140000000,9000000000,90000000,700000000,1400000000,20000000,100000000,200000000,100000000
2001,146870000,9418000000,92320000,716900000,1482200000,29310000,111900000,235300000,106300000
2002,153740000,9836000000,94640000,733800000,1564400000,38620000,123800000,270600000,112600000
2003,145006838,10491105996,74859983,497564594,2094043818,106775901,165595793,414752756,113391793
2004,140981174,10098911272,104628770,637210507,2122693451,150405707,184748395,515473296,119965838
2005,143214313,10743389655,106994700,644980164,2080324900,115920252,194523994,384386866,119906552
2006,162447358,12322309719,135650980,759464083,1893200000,131037323,222577050,393550380,138848736
2007,181933558,12312296434,117663106,824865981,2685425504,154668245,246454915,472938700,138347020
2008,182807850,13170759664,108783005,1151743747,2119544911,126574522,251074968,462443209,145410459
2009,177799783,14137328570,102300886,764109156,2832192530,123246058,243698109,482843414,143760266
2010,171255424,16275207675,111081846,1011175444,2222000000,126004596,236145672,478854381,136826548
2011,167723599,15350476263,105319264,920717465,2326896846,139882666,245664870,535623958,169262142
2012,159052967,13297599213,106849061,780538371,2583513770,144055997,262915594,583863212,150168887
2013,166123124,15293140048,101078705,739248504,2644541275,158568288,301040198,572714606,149219854
2014,200341642,15758275978,99618719,938565944,2864419610,168986410,301345606,639006083,154711153
2015,189001535,16808581771,99470237,1011706064,2991683172,199919031,284977205,670039132,157570709
2016,215187532,17104427703,105621501,846372157,3086313984,218576427,347814107,744300212,175418155
2017,236492783,15058007673,130577581,840021436,3094929236,231211605,337909025,822606457,192892870
2018,270194864,15809336626,148250775,908463247,3302686461,264909646,353348785,961395788,224775290
2019,273566962,17466328462,169480715,942831959,3582779101,290654816,384068026,1078173133,249325135
