Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2019.10.26.01,345,338,226,266,895,0,0,2029,1128,10182,7048,1931
2019.10.26.02,345,341,226,269,878,0,0,2017,1127,9280,6962,1734
2019.10.26.03,344,340,222,252,838,0,0,1955,1126,8715,6846,1657
2019.10.26.04,344,339,227,273,984,0,0,2124,1127,8363,6569,1584
2019.10.26.05,345,341,225,273,1148,0,0,2289,1127,8246,6400,1702
2019.10.26.06,344,348,225,271,1327,0,0,2470,1127,8016,6508,2070
2019.10.26.07,344,357,224,272,1135,0,0,2287,1128,8396,7098,2184
2019.10.26.08,344,357,224,269,902,963,0,3060,1127,8206,7158,2064
2019.10.26.09,349,363,225,250,627,5228,143,7184,1126,6035,6005,1575
2019.10.26.10,350,357,223,243,603,8194,385,10355,1126,3929,4911,1692
2019.10.26.11,353,354,222,232,686,9118,434,11400,1127,3453,4518,1659
2019.10.26.12,350,332,222,226,842,9117,436,11524,1126,3284,4803,1623
2019.10.26.13,348,327,222,211,1280,9098,431,11918,1125,3326,4991,1564
2019.10.26.14,342,324,217,211,2101,9172,426,12793,1123,3450,4693,1635
2019.10.26.15,298,313,197,203,2269,9187,361,12828,1123,4075,5188,1573
2019.10.26.16,259,302,198,222,2324,8677,368,12350,1123,5834,5549,1258
2019.10.26.17,259,300,194,239,2460,6107,283,9841,1123,8102,6570,1576
2019.10.26.18,260,297,200,239,2573,1436,44,5049,1124,10619,8649,2140
2019.10.26.19,262,296,201,238,2450,3,0,3450,1114,11520,9091,2470
2019.10.26.20,263,297,202,226,2413,0,0,3360,1113,10892,9173,2366
2019.10.26.21,263,299,212,225,2378,0,0,3337,1114,10091,8848,2072
2019.10.26.22,263,299,219,225,2224,0,0,3189,1126,9337,8278,2126
2019.10.26.23,263,299,219,207,2138,0,0,3083,1126,9204,7548,1734
2019.10.26.24,263,295,219,204,2199,0,0,3138,1124,8395,7367,1279
