06/17/20			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		861		335		183		300		3527		0		0		
	2		861		335		183		301		3606		0		0		
	3		864		336		184		301		3827		0		0		
	4		866		335		184		303		4131		0		0		
	5		866		344		181		303		4650		0		0		
	6		869		351		182		303		5015		7		0		
	7		871		365		180		302		4798		2149		19		
	8		869		363		179		276		4243		6187		200		
	9		865		362		176		272		3539		8846		322		
	10		868		352		171		247		2763		10464		348		
	11		865		344		162		255		2217		11200		362		
	12		862		351		170		254		1973		11489		370		
	13		861		352		176		292		1936		11473		373		
	14		860		359		180		292		2027		11478		373		
	15		859		361		181		256		1999		11290		369		
	16		860		367		182		292		2028		10913		364		
	17		859		362		182		295		2416		10212		350		
	18		859		356		183		323		2994		8869		303		
	19		859		357		183		367		3346		5538		201		
	20		861		357		183		381		3633		1332		31		
	21		863		356		183		370		3682		13		0		
	22		866		353		183		346		3636		0		0		
	23		867		335		184		311		3509		0		0		
	24		867		326		183		305		3259		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		5153		2272		4496		9340		1973						
	2		5244		2272		3687		9250		1794						
	3		5449		2271		2816		9242		1748						
	4		5750		2271		2441		8915		1757						
	5		6273		2271		2411		8536		1829						
	6		6694		2271		2649		8344		2140						
	7		8460		2272		2935		7348		1908						
	8		12164		2272		2427		5754		1298						
	9		14309		2272		2353		4085		1249						
	10		15168		2272		2369		3284		1216						
	11		15402		2271		2229		3188		1219						
	12		15462		2269		2319		3073		1094						
	13		15467		2268		2412		2901		1075						
	14		15567		2270		2890		2608		1126						
	15		15326		2270		3472		3034		1188						
	16		15032		2270		4355		3501		1327						
	17		14700		2269		5236		4021		1641						
	18		13966		2270		5916		4758		2295						
	19		11107		2270		6796		6721		3547						
	20		6944		2269		9146		8518		3715						
	21		5479		2270		9673		9272		3713						
	22		5365		2271		9050		9570		3372						
	23		5192		2270		7714		9487		2827						
	24		4912		2272		6683		9236		2154						
																	
The data found in the Daily Renewables Watch report will be integrated into various areas of Today's Outlook in 2021.																	
Details on the migration of the data will be provided in advance of the launch.																	
