Timestamp,Geothermal,Biomass,Biogas,Small Hydro,Wind Total,Solar PV,Solar Thermal,Renewables,Nuclear,Thermal,Imports,Hydro
2018.06.01.01,1003,348,245,357,4061,0,0,6014,2238,2785,7861,3315
2018.06.01.02,1004,347,245,356,4078,0,0,6030,2238,2580,7380,3071
2018.06.01.03,1004,349,245,355,3915,0,0,4864,2249,3137,7324,3181
2018.06.01.04,1004,350,245,359,3877,0,0,5835,2270,1846,7406,3203
2018.06.01.05,1002,348,246,359,3689,0,0,5644,2269,1697,8091,3274
2018.06.01.06,1001,354,245,489,3123,0,0,5212,2271,2017,8812,3529
2018.06.01.07,998,359,245,533,2650,1628,15,6428,2276,2108,8767,3475
2018.06.01.08,994,365,245,535,1827,5406,230,9602,2274,2045,7060,3060
2018.06.01.09,989,367,243,462,1140,8011,476,11688,2273,1820,6050,2562
2018.06.01.10,986,361,242,430,686,9215,547,12467,2277,1774,5509,2672
2018.06.01.11,973,351,243,431,581,9819,565,12963,2277,1630,5338,2561
2018.06.01.12,955,349,243,428,653,10065,583,13276,2277,1566,5098,2560
2018.06.01.13,949,346,242,388,612,10058,599,13194,2278,1942,4682,2591
2018.06.01.14,947,350,242,382,624,10084,602,13231,2280,2196,4566,2548
2018.06.01.15,947,345,242,410,630,9996,599,13169,2279,3066,4123,2687
2018.06.01.16,948,362,242,478,685,9590,597,12902,2278,3777,4383,2774
2018.06.01.17,947,369,242,513,960,8855,599,12485,2278,4101,5270,2844
2018.06.01.18,945,374,242,532,1680,7467,554,11794,2280,5096,5605,3047
2018.06.01.19,960,381,243,570,2141,4307,357,8959,2280,6415,6989,3692
2018.06.01.20,976,382,243,568,2440,843,61,5513,2280,7580,9507,3817
2018.06.01.21,981,379,243,556,2630,2,12,4803,2282,7454,10605,3956
2018.06.01.22,983,379,242,537,2448,0,0,4589,2282,6861,10723,3950
2018.06.01.23,984,360,242,498,2073,0,0,4157,2281,6018,10532,3624
2018.06.01.24,986,354,242,392,1729,0,0,3703,2280,5019,10316,3382
2018.06.02.01,987,359,242,389,1611,0,0,3588,2280,4181,9778,3411
2018.06.02.02,988,365,242,384,1545,0,0,3524,2281,3347,9605,3363
2018.06.02.03,988,373,243,386,1522,0,0,2524,2280,3421,9766,3340
2018.06.02.04,986,380,242,388,1411,0,0,3407,2281,2022,9906,3219
2018.06.02.05,973,383,243,386,1299,0,0,3284,2281,1873,10031,3339
2018.06.02.06,974,386,245,477,1163,0,0,3245,2282,1851,10205,3414
2018.06.02.07,974,401,244,520,1038,1601,11,4789,2281,1706,9051,3341
2018.06.02.08,970,401,244,480,858,5358,230,8541,2281,1355,6712,2709
2018.06.02.09,967,402,244,380,768,8058,454,11273,2282,1229,5000,2602
2018.06.02.10,965,392,245,376,764,9111,474,12327,2283,1227,4501,2586
2018.06.02.11,962,382,242,377,805,9658,477,12903,2282,1244,4356,2673
2018.06.02.12,959,395,243,373,834,9946,382,13132,2282,1563,4299,2717
2018.06.02.13,957,395,243,374,741,9934,364,13008,2281,1896,4661,2778
2018.06.02.14,954,395,244,377,659,9891,297,12817,2280,2394,5363,2721
2018.06.02.15,964,391,243,370,647,9705,206,12526,2279,3661,5264,2768
2018.06.02.16,966,402,243,407,691,9313,200,12222,2279,4404,6095,2774
2018.06.02.17,965,407,242,513,1133,8525,180,11965,2278,5248,6673,2946
2018.06.02.18,964,410,242,521,1957,7023,161,11278,2277,6345,6927,3495
2018.06.02.19,966,408,243,526,2359,4043,115,8660,2278,8260,7968,3883
2018.06.02.20,968,405,240,539,2658,767,6,5583,2279,9214,9436,4500
2018.06.02.21,970,402,240,525,2787,0,0,4924,2280,9197,10413,3979
2018.06.02.22,971,395,240,472,2781,0,0,4859,2280,7961,10894,3841
2018.06.02.23,974,377,241,454,2921,0,0,4967,2281,6596,10152,3711
2018.06.02.24,975,369,241,364,2805,0,0,4754,2281,4852,10043,3604
2018.06.03.01,977,366,239,404,2714,0,0,4700,2282,3322,10072,3280
2018.06.03.02,977,364,240,410,2864,0,0,4855,2281,2309,9818,3047
2018.06.03.03,978,365,240,412,2994,0,0,4011,2280,3028,8979,3022
2018.06.03.04,982,366,240,414,2767,0,0,4769,2280,2008,8660,2988
2018.06.03.05,983,371,240,415,2189,0,0,4198,2278,1979,9065,2954
2018.06.03.06,984,378,240,416,1895,0,0,3913,2279,2049,9307,2841
2018.06.03.07,984,394,240,443,1423,1535,1,5020,2279,1764,8424,2640
2018.06.03.08,981,390,239,346,923,5037,253,8169,2280,1665,6248,2403
2018.06.03.09,975,380,240,344,597,7685,505,10726,2279,1558,4903,2360
2018.06.03.10,971,380,240,350,358,8822,562,11683,2278,1646,4620,2370
2018.06.03.11,966,379,240,352,267,9449,570,12223,2278,1543,5111,2415
2018.06.03.12,964,380,239,352,255,9668,549,12407,2276,1790,5442,2551
2018.06.03.13,961,371,238,354,354,9949,546,12773,2274,2323,5230,2742
2018.06.03.14,960,368,237,404,509,9923,549,12950,2275,2965,5801,2754
2018.06.03.15,960,363,237,403,957,9778,572,13270,2275,4271,5608,2762
2018.06.03.16,959,367,236,438,1537,9361,572,13470,2276,5026,6131,2805
2018.06.03.17,958,370,236,491,2127,8638,557,13377,2277,6195,6043,3265
2018.06.03.18,960,370,236,493,2260,7239,479,12037,2278,7791,7089,3308
2018.06.03.19,965,371,237,500,2371,4165,312,8921,2279,9737,8206,3861
2018.06.03.20,968,369,237,538,2669,792,36,5609,2279,10871,9351,4335
2018.06.03.21,974,371,238,525,2776,0,0,4884,2278,10598,10069,4172
2018.06.03.22,977,368,238,490,3006,0,0,5079,2279,8947,10510,3829
2018.06.03.23,980,347,237,366,3088,0,0,5018,2278,7034,9973,3624
2018.06.03.24,983,335,237,365,3077,0,0,4997,2279,4926,9689,3300
2018.06.04.01,986,333,235,364,3082,0,0,5000,2280,3708,9398,3146
2018.06.04.02,990,332,236,374,3205,0,0,5137,2280,3180,9163,2797
2018.06.04.03,990,329,235,373,3375,0,0,4312,2280,3779,9023,2673
2018.06.04.04,991,332,235,374,3357,0,0,5289,2281,2614,8962,2652
2018.06.04.05,991,335,235,375,3100,0,0,5036,2280,2849,9207,2814
2018.06.04.06,992,329,235,408,2639,0,0,4603,2279,3306,9630,3058
2018.06.04.07,994,343,235,440,2286,1627,53,5978,2278,3591,8984,3018
2018.06.04.08,993,345,232,390,2198,5536,279,9973,2278,3132,7404,2794
2018.06.04.09,987,355,230,384,2138,8067,512,12673,2277,2723,6356,2475
2018.06.04.10,983,364,232,386,2287,9049,568,13869,2276,2855,5652,2533
2018.06.04.11,980,369,234,409,2343,9573,585,14493,2276,3241,5379,2722
2018.06.04.12,951,368,234,410,2346,9759,574,14642,2275,3874,5259,2750
2018.06.04.13,950,366,242,411,2444,9844,571,14828,2273,4208,5432,2713
2018.06.04.14,952,365,236,467,2473,9887,602,14982,2274,4884,5056,2968
2018.06.04.15,949,366,237,473,2671,9510,563,14769,2276,5805,4812,3155
2018.06.04.16,945,366,241,472,2882,8665,424,13995,2278,6576,5455,3279
2018.06.04.17,946,365,241,555,2883,7842,182,13014,2278,7467,6147,3410
2018.06.04.18,949,367,242,560,2584,6484,183,11369,2278,9081,6527,3596
2018.06.04.19,970,386,243,559,2384,3609,47,8198,2279,10912,7653,3869
2018.06.04.20,981,396,244,557,2548,594,0,5320,2281,11619,9505,3718
2018.06.04.21,984,396,244,528,2440,0,0,4592,2279,11350,10218,3677
2018.06.04.22,986,396,244,490,2668,0,0,4784,2278,9135,10693,3793
2018.06.04.23,988,377,243,478,2800,0,0,4886,2279,7310,10051,3545
2018.06.04.24,991,368,243,374,3147,0,0,5123,2280,5550,9232,3312
2018.06.05.01,993,375,243,347,3426,0,0,5384,2281,3793,9163,3194
2018.06.05.02,995,374,244,345,3556,0,0,5514,2281,2996,8974,2899
2018.06.05.03,995,375,244,346,3268,0,0,4233,2280,3483,9151,2743
2018.06.05.04,996,376,240,347,3424,0,0,5383,2280,2334,8797,2739
2018.06.05.05,997,381,239,347,3392,0,0,5356,2280,2372,8881,2902
2018.06.05.06,997,389,239,488,3189,0,0,5302,2281,2476,9421,3314
2018.06.05.07,998,394,243,500,2890,1526,40,6591,2280,2676,9259,3379
2018.06.05.08,994,395,238,520,2432,5113,200,9892,2280,2710,7713,2831
2018.06.05.09,992,393,239,529,1945,7637,474,12209,2280,2821,5767,2817
2018.06.05.10,988,381,239,528,1579,8763,555,13033,2280,2302,5641,2752
2018.06.05.11,968,379,242,429,1420,9488,584,13510,2279,2519,4987,2794
2018.06.05.12,913,379,240,428,1320,9871,597,13748,2279,2770,4721,2704
2018.06.05.13,893,382,241,431,1438,9946,579,13910,2279,2981,4609,2748
2018.06.05.14,912,381,243,427,1719,9882,508,14072,2278,3189,4875,2733
2018.06.05.15,948,382,241,431,2120,9628,298,14048,2278,4094,4613,2638
2018.06.05.16,948,389,243,450,2675,9137,268,14110,2278,5138,4004,2715
2018.06.05.17,946,397,238,537,3104,8354,255,13831,2279,5555,4186,3270
2018.06.05.18,946,393,235,550,3192,6880,244,12440,2280,6562,5200,3477
2018.06.05.19,971,394,236,542,3282,3902,148,9475,2281,8179,6800,3703
2018.06.05.20,979,393,239,577,3240,804,7,6239,2280,8986,9068,3819
2018.06.05.21,982,393,242,566,3412,0,0,5595,2279,9187,9982,3677
2018.06.05.22,985,391,241,512,3436,0,0,5565,2279,8143,10005,3662
2018.06.05.23,986,373,241,489,3734,0,0,5823,2278,6393,9287,3455
2018.06.05.24,987,367,243,395,4170,0,0,6162,2279,4601,8602,3240
2018.06.06.01,989,376,245,419,4413,0,0,6442,2279,3341,8303,3056
2018.06.06.02,990,382,245,421,4262,0,0,6300,2280,2832,8417,2763
2018.06.06.03,991,384,246,424,3871,0,0,4926,2279,3259,8701,2723
2018.06.06.04,992,388,246,422,3258,0,0,5306,2280,2267,9028,2724
2018.06.06.05,992,388,246,422,2909,0,0,4957,2281,2467,9173,2785
2018.06.06.06,993,394,246,457,2744,18,0,4852,2282,2684,9511,3284
2018.06.06.07,992,400,246,487,2214,1583,41,5963,2282,3042,9428,3293
2018.06.06.08,988,399,242,479,1753,5391,281,9533,2281,3459,6846,3178
2018.06.06.09,984,404,239,481,1627,7971,502,12208,2280,3485,5042,2816
2018.06.06.10,979,402,239,470,1583,8845,565,13083,2280,3247,4768,2690
2018.06.06.11,976,398,238,437,1607,9467,584,13707,2280,3410,4184,2506
2018.06.06.12,955,395,226,364,1767,9925,597,14229,2278,3443,3448,2559
2018.06.06.13,946,397,221,360,1996,9946,623,14489,2277,3445,3165,2510
2018.06.06.14,945,399,219,361,2393,9903,622,14842,2277,3650,3193,2480
2018.06.06.15,943,388,218,387,2563,9609,618,14726,2279,4283,3452,2369
2018.06.06.16,941,396,217,383,2839,9160,628,14564,2278,4733,3630,2696
2018.06.06.17,942,401,217,380,3263,8578,634,14415,2279,5054,3866,2799
2018.06.06.18,943,404,223,383,3527,7196,579,13255,2280,5527,5142,2863
2018.06.06.19,960,410,230,388,3888,4124,384,10384,2282,6315,7193,3312
2018.06.06.20,976,412,239,418,3906,867,67,6885,2281,7630,9236,3573
2018.06.06.21,979,410,239,439,3975,56,14,6112,2281,7487,10503,3673
2018.06.06.22,983,409,239,402,3852,51,0,5936,2281,6762,10647,3599
2018.06.06.23,986,404,241,384,3879,44,0,5938,2279,5429,10012,3219
2018.06.06.24,989,394,245,345,3871,46,0,5890,2279,3939,9731,2948
2018.06.07.01,991,394,245,344,4113,0,0,6087,2279,2811,9493,2728
2018.06.07.02,992,392,246,305,4355,0,0,6290,2280,2434,8897,2487
2018.06.07.03,992,394,246,322,4148,0,0,5110,2280,2681,9371,2301
2018.06.07.04,992,395,246,327,3824,0,0,5784,2280,1555,9450,2422
2018.06.07.05,992,389,247,322,3576,0,0,5526,2280,1618,9446,2749
2018.06.07.06,992,391,246,406,3102,0,0,5137,2281,2036,9715,3417
2018.06.07.07,992,392,245,453,2787,1476,37,6382,2281,2477,9369,3317
2018.06.07.08,989,391,242,472,2708,5148,262,10212,2281,2190,7112,3241
2018.06.07.09,983,392,227,429,2617,7851,459,12958,2280,2169,5465,2660
2018.06.07.10,978,375,234,428,2454,8971,540,13980,2282,2139,4682,2362
2018.06.07.11,973,342,233,428,2512,9640,565,14693,2280,2338,3720,2392
2018.06.07.12,944,342,233,349,2647,9948,595,15058,2277,2373,3693,2406
2018.06.07.13,943,344,239,341,2901,9922,643,15333,2277,2449,3542,2373
2018.06.07.14,943,345,240,336,3416,9872,646,15798,2278,2435,3597,2484
2018.06.07.15,947,344,241,335,4001,9940,645,16453,2277,2867,3323,2439
2018.06.07.16,951,348,241,376,4291,9601,643,16451,2277,3323,3567,2611
2018.06.07.17,951,361,242,377,4580,8907,617,16035,2278,3740,3927,2859
2018.06.07.18,953,374,242,370,4660,7450,559,14608,2280,3682,5272,3466
2018.06.07.19,969,385,243,375,4666,4377,357,11372,2281,4771,7784,3736
2018.06.07.20,981,391,244,516,4855,1009,64,8060,2281,5931,9805,3931
2018.06.07.21,985,393,243,513,4672,69,20,6895,2281,6401,10545,4136
2018.06.07.22,988,393,244,492,4452,0,1,6570,2282,5880,10605,4063
2018.06.07.23,992,377,244,365,4332,0,0,6310,2280,4798,10242,3649
2018.06.07.24,993,368,244,356,4435,0,0,6396,2280,3477,9636,3244
2018.06.08.01,993,365,244,322,4586,0,0,6510,2279,2879,8807,2982
2018.06.08.02,995,367,244,312,4454,0,0,6372,2279,2472,8139,2952
2018.06.08.03,998,367,245,298,4485,0,0,5395,2278,3019,8082,2837
2018.06.08.04,998,368,245,301,4287,0,0,6199,2279,1817,8191,2822
2018.06.08.05,997,372,245,352,4171,0,0,6137,2280,1727,8420,3022
2018.06.08.06,997,376,244,433,3860,1,0,5911,2282,2131,8887,3331
2018.06.08.07,997,388,244,469,3476,1585,42,7201,2282,2384,8423,3303
2018.06.08.08,993,390,242,414,2861,5425,262,10587,2282,2441,6111,3227
2018.06.08.09,990,400,235,416,2208,8039,471,12759,2282,2464,4911,2872
2018.06.08.10,986,401,233,425,1429,9150,549,13173,2282,2436,5043,2753
2018.06.08.11,978,397,238,381,1023,9748,583,13348,2282,2543,5236,2717
2018.06.08.12,952,393,234,341,914,10035,577,13446,2282,2731,5391,2729
2018.06.08.13,950,391,240,368,1142,10091,634,13816,2282,3130,4977,2780
2018.06.08.14,947,390,238,379,1521,10066,634,14175,2281,3425,5275,2771
2018.06.08.15,944,393,240,360,1759,9924,629,14249,2281,4060,5570,2829
2018.06.08.16,944,402,240,360,2623,9501,632,14702,2283,4333,5755,2961
2018.06.08.17,944,408,240,318,3506,8771,622,14809,2283,4629,6340,3060
2018.06.08.18,944,407,242,315,4298,7357,559,14122,2283,4808,7053,3510
2018.06.08.19,966,405,243,381,4677,4315,365,11352,2283,6334,8029,4000
2018.06.08.20,976,399,243,444,4798,890,64,7814,2283,7663,9779,4079
2018.06.08.21,979,394,243,483,4953,11,1,7064,2282,7514,10453,4044
2018.06.08.22,983,393,242,380,4937,0,0,6935,2282,6088,11003,4110
2018.06.08.23,985,376,241,329,4887,0,0,6818,2281,5165,10394,3613
2018.06.08.24,987,368,241,315,4949,0,0,6860,2282,3995,9383,3400
2018.06.09.01,989,375,241,360,4795,0,0,6760,2282,2616,9109,3434
2018.06.09.02,989,375,243,332,4485,0,0,6424,2282,2303,8564,3402
2018.06.09.03,989,383,244,333,4479,0,0,5439,2281,2715,8283,3350
2018.06.09.04,988,385,244,332,4537,0,0,6486,2281,1260,8477,3007
2018.06.09.05,989,387,245,330,4377,0,0,6328,2281,1507,8072,3243
2018.06.09.06,988,389,244,291,4160,0,0,6072,2283,1635,8228,3320
2018.06.09.07,990,394,244,317,4016,1641,65,7667,2284,1769,6969,2950
2018.06.09.08,991,397,243,317,3873,5268,311,11400,2283,1515,4832,2519
2018.06.09.09,991,397,243,280,3790,8074,524,14299,2282,1356,3127,2437
2018.06.09.10,990,395,243,279,3798,9138,585,15428,2283,1266,2501,2418
2018.06.09.11,986,387,243,268,3804,9571,601,15860,2283,1188,2566,2371
2018.06.09.12,984,382,242,302,4213,9096,584,15803,2282,1153,2932,2343
2018.06.09.13,982,382,242,308,4334,9409,570,16227,2282,1164,2840,2364
2018.06.09.14,982,386,242,305,4625,9562,544,16646,2282,1294,2841,2354
2018.06.09.15,983,389,242,306,4876,9152,534,16482,2283,1335,3555,2344
2018.06.09.16,983,389,242,306,4850,8796,529,16095,2283,1557,4141,2401
2018.06.09.17,986,395,242,342,5006,8063,511,15545,2281,2197,4399,2689
2018.06.09.18,991,396,242,345,4866,6546,436,13822,2282,2864,6086,2828
2018.06.09.19,992,396,242,410,4451,3520,286,10297,2283,4229,7735,3875
2018.06.09.20,993,397,243,492,4136,631,26,6918,2284,5158,9925,3989
2018.06.09.21,995,395,243,523,4212,0,0,6368,2284,5395,10545,3928
2018.06.09.22,996,396,242,476,4098,0,0,6208,2283,4766,10713,3989
2018.06.09.23,997,389,243,370,4042,0,0,6041,2282,4503,9705,3786
2018.06.09.24,999,389,242,324,4033,0,0,5987,2282,3514,9066,3580
2018.06.10.01,1001,391,242,362,3804,0,0,5800,2283,2310,9293,3223
2018.06.10.02,1001,396,242,323,3161,0,0,5123,2282,1999,9337,3060
2018.06.10.03,1002,395,243,321,2996,0,0,3955,2282,2572,9586,2934
2018.06.10.04,1003,394,243,321,3152,0,0,5113,2281,1219,9230,3001
2018.06.10.05,1004,395,243,319,3697,0,0,5658,2282,1127,8671,2947
2018.06.10.06,1003,396,239,285,3678,2,0,5603,2283,1368,8528,2888
2018.06.10.07,1005,404,239,343,3315,1523,28,6857,2282,1239,7724,2626
2018.06.10.08,972,399,241,307,2899,4746,146,9710,2282,1271,5147,2369
